연도,주차,연령대,의사환자 분율,입원환자 수,인플루엔자 검출률,예방접종률,응급실 인플루엔자 환자,아형
2017.0,36.0,0-6세,,,0.0,,,A(H3N2)
2017.0,36.0,0세,3.9,0.0,,,,A(H3N2)
2017.0,36.0,1-6세,6.7,0.0,,,,A(H3N2)
2017.0,36.0,13-18세,8.2,0.0,0.0,,,A(H3N2)
2017.0,36.0,19-49세,5.7,3.0,2.2,,,A(H3N2)
2017.0,36.0,50-64세,2.9,3.0,0.0,,,A(H3N2)
2017.0,36.0,65세이상,2.1,9.0,5.0,,,A(H3N2)
2017.0,36.0,7-12세,6.3,6.0,0.0,,,A(H3N2)
2017.0,37.0,0-6세,,,0.0,,,A(H3N2)
2017.0,37.0,0세,3.4,1.0,,,,A(H3N2)
2017.0,37.0,1-6세,6.4,3.0,,,,A(H3N2)
2017.0,37.0,13-18세,8.0,0.0,0.0,,,A(H3N2)
2017.0,37.0,19-49세,5.8,3.0,0.0,,,A(H3N2)
2017.0,37.0,50-64세,3.7,6.0,3.0,,,A(H3N2)
2017.0,37.0,65세이상,1.7,2.0,0.0,,,A(H3N2)
2017.0,37.0,7-12세,7.8,4.0,0.0,,,A(H3N2)
2017.0,38.0,0-6세,,,1.5,,,B
2017.0,38.0,0세,6.3,4.0,,,,B
2017.0,38.0,1-6세,7.0,4.0,,,,B
2017.0,38.0,13-18세,6.4,1.0,0.0,,,B
2017.0,38.0,19-49세,6.1,3.0,0.0,,,B
2017.0,38.0,50-64세,2.7,4.0,0.0,,,B
2017.0,38.0,65-69세,,,,0.0,,B
2017.0,38.0,65세 이상,,,,0.0,,B
2017.0,38.0,65세이상,1.8,8.0,4.5,,,B
2017.0,38.0,7-12세,7.2,7.0,7.1,,,B
2017.0,38.0,70-74세,,,,0.0,,B
2017.0,38.0,75세 이상,,,,0.0,,B
2017.0,39.0,0-6세,,,0.0,,,A(H3N2)
2017.0,39.0,0세,2.4,1.0,,,,A(H3N2)
2017.0,39.0,1-6세,8.0,2.0,,,,A(H3N2)
2017.0,39.0,13-18세,6.0,0.0,0.0,,,A(H3N2)
2017.0,39.0,19-49세,4.7,0.0,2.2,,,A(H3N2)
2017.0,39.0,50-64세,2.4,3.0,0.0,,,A(H3N2)
2017.0,39.0,65-69세,,,,10.5,,A(H3N2)
2017.0,39.0,65세 이상,,,,30.4,,A(H3N2)
2017.0,39.0,65세이상,1.5,6.0,4.2,,,A(H3N2)
2017.0,39.0,7-12세,7.4,12.0,0.0,,,A(H3N2)
2017.0,39.0,70-74세,,,,16.3,,A(H3N2)
2017.0,39.0,75세 이상,,,,52.8,,A(H3N2)
2017.0,40.0,0-6세,,,0.0,,,A(H1N1)pdm09
2017.0,40.0,0세,0.9,2.0,,,,A(H1N1)pdm09
2017.0,40.0,1-6세,2.6,3.0,,,,A(H1N1)pdm09
2017.0,40.0,13-18세,4.8,0.0,0.0,,,A(H1N1)pdm09
2017.0,40.0,19-49세,3.5,1.0,0.0,,,A(H1N1)pdm09
2017.0,40.0,50-64세,5.1,1.0,0.0,,,A(H1N1)pdm09
2017.0,40.0,65-69세,,,,11.6,,A(H1N1)pdm09
2017.0,40.0,65세 이상,,,,32.1,,A(H1N1)pdm09
2017.0,40.0,65세이상,3.6,4.0,0.0,,,A(H1N1)pdm09
2017.0,40.0,7-12세,2.9,1.0,0.0,,,A(H1N1)pdm09
2017.0,40.0,70-74세,,,,17.6,,A(H1N1)pdm09
2017.0,40.0,75세 이상,,,,55.2,,A(H1N1)pdm09
2017.0,41.0,0-6세,,,0.0,,,A(H3N2)
2017.0,41.0,0세,3.1,4.0,,,,A(H3N2)
2017.0,41.0,1-6세,5.9,0.0,,,,A(H3N2)
2017.0,41.0,13-18세,5.0,0.0,0.0,,,A(H3N2)
2017.0,41.0,19-49세,4.7,3.0,0.0,,,A(H3N2)
2017.0,41.0,50-64세,2.7,2.0,0.0,,,A(H3N2)
2017.0,41.0,65-69세,,,,42.7,,A(H3N2)
2017.0,41.0,65세 이상,,,,58.6,,A(H3N2)
2017.0,41.0,65세이상,1.1,1.0,11.1,,,A(H3N2)
2017.0,41.0,7-12세,6.4,5.0,0.0,,,A(H3N2)
2017.0,41.0,70-74세,,,,57.4,,A(H3N2)
2017.0,41.0,75세 이상,,,,70.9,,A(H3N2)
2017.0,42.0,0-6세,,,0.0,,,A(H3N2)
2017.0,42.0,0세,4.5,4.0,,,,A(H3N2)
2017.0,42.0,1-6세,7.3,3.0,,,,A(H3N2)
2017.0,42.0,13-18세,4.1,4.0,10.0,,,A(H3N2)
2017.0,42.0,19-49세,4.0,3.0,0.0,,,A(H3N2)
2017.0,42.0,50-64세,2.0,2.0,0.0,,,A(H3N2)
2017.0,42.0,65-69세,,,,60.7,,A(H3N2)
2017.0,42.0,65세 이상,,,,72.3,,A(H3N2)
2017.0,42.0,65세이상,1.8,9.0,2.8,,,A(H3N2)
2017.0,42.0,7-12세,6.7,10.0,0.0,,,A(H3N2)
2017.0,42.0,70-74세,,,,73.8,,A(H3N2)
2017.0,42.0,75세 이상,,,,79.9,,A(H3N2)
2017.0,43.0,0-6세,,,0.0,,,A(H3N2)
2017.0,43.0,0세,3.9,2.0,,,,A(H3N2)
2017.0,43.0,1-6세,5.8,5.0,,,,A(H3N2)
2017.0,43.0,13-18세,4.5,1.0,0.0,,,A(H3N2)
2017.0,43.0,19-49세,4.6,3.0,0.0,,,A(H3N2)
2017.0,43.0,50-64세,2.6,2.0,2.4,,,A(H3N2)
2017.0,43.0,65-69세,,,,67.8,,A(H3N2)
2017.0,43.0,65세 이상,,,,77.2,,A(H3N2)
2017.0,43.0,65세이상,1.9,8.0,0.0,,,A(H3N2)
2017.0,43.0,7-12세,5.7,12.0,0.0,,,A(H3N2)
2017.0,43.0,70-74세,,,,79.1,,A(H3N2)
2017.0,43.0,75세 이상,,,,83.0,,A(H3N2)
2017.0,44.0,0-6세,,,1.0,,,B
2017.0,44.0,0세,5.8,3.0,,,,B
2017.0,44.0,1-6세,7.3,8.0,,,,B
2017.0,44.0,13-18세,4.2,2.0,10.5,,,B
2017.0,44.0,19-49세,6.1,5.0,0.0,,,B
2017.0,44.0,50-64세,2.9,6.0,0.0,,,B
2017.0,44.0,65-69세,,,,71.7,,B
2017.0,44.0,65세 이상,,,,79.7,,B
2017.0,44.0,65세이상,1.7,10.0,0.0,,,B
2017.0,44.0,7-12세,6.8,8.0,0.0,,,B
2017.0,44.0,70-74세,,,,81.7,,B
2017.0,44.0,75세 이상,,,,84.4,,B
2017.0,45.0,0-6세,,,1.0,,,A(H3N2)
2017.0,45.0,0세,7.5,6.0,,,,A(H3N2)
2017.0,45.0,1-6세,7.4,10.0,,,,A(H3N2)
2017.0,45.0,13-18세,6.0,1.0,0.0,,,A(H3N2)
2017.0,45.0,19-49세,6.0,7.0,0.0,,,A(H3N2)
2017.0,45.0,50-64세,3.2,5.0,2.3,,,A(H3N2)
2017.0,45.0,65-69세,,,,74.0,,A(H3N2)
2017.0,45.0,65세 이상,,,,81.1,,A(H3N2)
2017.0,45.0,65세이상,1.7,8.0,0.0,,,A(H3N2)
2017.0,45.0,7-12세,7.0,18.0,0.0,,,A(H3N2)
2017.0,45.0,70-74세,,,,83.1,,A(H3N2)
2017.0,45.0,75세 이상,,,,85.2,,A(H3N2)
2017.0,46.0,0-6세,,,3.1,,,A(H3N2)
2017.0,46.0,0세,8.2,3.0,,,,A(H3N2)
2017.0,46.0,1-6세,9.4,9.0,,,,A(H3N2)
2017.0,46.0,13-18세,6.0,4.0,0.0,,,A(H3N2)
2017.0,46.0,19-49세,6.0,4.0,0.0,,,A(H3N2)
2017.0,46.0,50-64세,3.4,3.0,0.0,,,A(H3N2)
2017.0,46.0,65-69세,,,,75.8,,A(H3N2)
2017.0,46.0,65세 이상,,,,82.2,,A(H3N2)
2017.0,46.0,65세이상,1.3,10.0,0.0,,,A(H3N2)
2017.0,46.0,7-12세,10.4,24.0,0.0,,,A(H3N2)
2017.0,46.0,70-74세,,,,84.2,,A(H3N2)
2017.0,46.0,75세 이상,,,,85.7,,A(H3N2)
2017.0,47.0,0-6세,,,1.9,,,A(H3N2)
2017.0,47.0,0세,7.8,7.0,,,,A(H3N2)
2017.0,47.0,1-6세,10.5,19.0,,,,A(H3N2)
2017.0,47.0,13-18세,13.8,8.0,0.0,,,A(H3N2)
2017.0,47.0,19-49세,7.6,12.0,6.3,,,A(H3N2)
2017.0,47.0,50-64세,4.3,12.0,3.3,,,A(H3N2)
2017.0,47.0,65-69세,,,,76.4,,A(H3N2)
2017.0,47.0,65세 이상,,,,82.5,,A(H3N2)
2017.0,47.0,65세이상,2.1,17.0,0.0,,,A(H3N2)
2017.0,47.0,7-12세,15.1,35.0,8.7,,,A(H3N2)
2017.0,47.0,70-74세,,,,84.5,,A(H3N2)
2017.0,47.0,75세 이상,,,,85.9,,A(H3N2)
2017.0,48.0,0-6세,,,8.5,,,B
2017.0,48.0,0세,10.0,16.0,,,,B
2017.0,48.0,1-6세,18.5,45.0,,,,B
2017.0,48.0,13-18세,29.6,11.0,45.5,,,B
2017.0,48.0,19-49세,9.2,19.0,4.2,,,B
2017.0,48.0,50-64세,5.0,23.0,12.5,,,B
2017.0,48.0,65-69세,,,,76.8,,B
2017.0,48.0,65세 이상,,,,82.7,,B
2017.0,48.0,65세이상,2.4,29.0,14.8,,,B
2017.0,48.0,7-12세,23.9,57.0,13.6,,,B
2017.0,48.0,70-74세,,,,84.7,,B
2017.0,48.0,75세 이상,,,,86.0,,B
2017.0,49.0,0-6세,,,7.3,,,A(H3N2)
2017.0,49.0,0세,16.7,28.0,,,,A(H3N2)
2017.0,49.0,1-6세,20.8,82.0,,,,A(H3N2)
2017.0,49.0,13-18세,50.8,27.0,34.8,,,A(H3N2)
2017.0,49.0,19-49세,17.9,34.0,12.8,,,A(H3N2)
2017.0,49.0,50-64세,9.2,24.0,24.4,,,A(H3N2)
2017.0,49.0,65-69세,,,,77.0,,A(H3N2)
2017.0,49.0,65세 이상,,,,82.9,,A(H3N2)
2017.0,49.0,65세이상,4.4,68.0,32.3,,,A(H3N2)
2017.0,49.0,7-12세,49.2,122.0,20.8,,,A(H3N2)
2017.0,49.0,70-74세,,,,84.8,,A(H3N2)
2017.0,49.0,75세 이상,,,,86.0,,A(H3N2)
2017.0,50.0,0-6세,,,22.3,,,B
2017.0,50.0,0세,15.5,34.0,,,,B
2017.0,50.0,1-6세,33.3,105.0,,,,B
2017.0,50.0,13-18세,72.0,61.0,63.0,,,B
2017.0,50.0,19-49세,30.1,88.0,29.7,,,B
2017.0,50.0,50-64세,14.4,72.0,40.0,,,B
2017.0,50.0,65-69세,,,,77.2,,B
2017.0,50.0,65세 이상,,,,83.0,,B
2017.0,50.0,65세이상,5.8,133.0,27.6,,,B
2017.0,50.0,7-12세,82.4,156.0,61.1,,,B
2017.0,50.0,70-74세,,,,84.9,,B
2017.0,50.0,75세 이상,,,,86.1,,B
2017.0,51.0,0-6세,,,29.8,,,B
2017.0,51.0,0세,17.0,72.0,,,,B
2017.0,51.0,1-6세,63.7,224.0,,,,B
2017.0,51.0,13-18세,115.6,79.0,65.7,,,B
2017.0,51.0,19-49세,45.3,166.0,52.6,,,B
2017.0,51.0,50-64세,29.6,149.0,53.4,,,B
2017.0,51.0,65-69세,,,,77.3,,B
2017.0,51.0,65세 이상,,,,83.0,,B
2017.0,51.0,65세이상,13.2,377.0,40.9,,,B
2017.0,51.0,7-12세,122.6,354.0,56.9,,,B
2017.0,51.0,70-74세,,,,84.9,,B
2017.0,51.0,75세 이상,,,,86.1,,B
2017.0,52.0,0-6세,,,53.2,,,B
2017.0,52.0,0세,25.7,124.0,,,,B
2017.0,52.0,1-6세,89.7,339.0,,,,B
2017.0,52.0,13-18세,121.8,136.0,85.7,,,B
2017.0,52.0,19-49세,71.0,330.0,63.9,,,B
2017.0,52.0,50-64세,44.6,340.0,75.6,,,B
2017.0,52.0,65-69세,,,,77.4,,B
2017.0,52.0,65세 이상,,,,83.1,,B
2017.0,52.0,65세이상,21.7,654.0,54.8,,,B
2017.0,52.0,7-12세,144.8,640.0,79.5,,,B
2017.0,52.0,70-74세,,,,85.0,,B
2017.0,52.0,75세 이상,,,,86.1,,B
2017.0,53.0,0-6세,,,53.2,,,B
2017.0,53.0,0세,25.7,124.0,,,,B
2017.0,53.0,1-6세,89.7,339.0,,,,B
2017.0,53.0,13-18세,121.8,136.0,85.7,,,B
2017.0,53.0,19-49세,71.0,330.0,63.9,,,B
2017.0,53.0,50-64세,44.6,340.0,75.6,,,B
2017.0,53.0,65-69세,,,,77.4,,B
2017.0,53.0,65세 이상,,,,83.1,,B
2017.0,53.0,65세이상,21.7,654.0,54.8,,,B
2017.0,53.0,7-12세,144.8,640.0,79.5,,,B
2017.0,53.0,70-74세,,,,85.0,,B
2017.0,53.0,75세 이상,,,,86.1,,B
2018.0,1.0,0-6세,,,52.3,,,B
2018.0,1.0,0세,33.9,160.0,,,,B
2018.0,1.0,1-6세,86.9,348.0,,,,B
2018.0,1.0,13-18세,99.3,141.0,68.4,,,B
2018.0,1.0,19-49세,81.8,588.0,65.7,,,B
2018.0,1.0,50-64세,56.7,477.0,75.0,,,B
2018.0,1.0,65-69세,,,,77.4,,B
2018.0,1.0,65세 이상,,,,83.1,,B
2018.0,1.0,65세이상,31.9,1084.0,71.4,,,B
2018.0,1.0,7-12세,119.8,783.0,85.3,,,B
2018.0,1.0,70-74세,,,,85.0,,B
2018.0,1.0,75세 이상,,,,86.1,,B
2018.0,2.0,0-6세,,,44.0,,,B
2018.0,2.0,0세,48.5,147.0,,,,B
2018.0,2.0,1-6세,101.0,211.0,,,,B
2018.0,2.0,13-18세,82.1,65.0,80.0,,,B
2018.0,2.0,19-49세,83.1,471.0,57.3,,,B
2018.0,2.0,50-64세,55.6,505.0,62.3,,,B
2018.0,2.0,65-69세,,,,77.5,,B
2018.0,2.0,65세 이상,,,,83.1,,B
2018.0,2.0,65세이상,30.4,1206.0,54.8,,,B
2018.0,2.0,7-12세,93.6,709.0,73.0,,,B
2018.0,2.0,70-74세,,,,85.0,,B
2018.0,2.0,75세 이상,,,,86.2,,B
2018.0,3.0,0-6세,,,52.3,,,B
2018.0,3.0,0세,32.6,130.0,,,,B
2018.0,3.0,1-6세,103.1,149.0,,,,B
2018.0,3.0,13-18세,53.5,43.0,62.5,,,B
2018.0,3.0,19-49세,65.9,371.0,63.8,,,B
2018.0,3.0,50-64세,44.8,404.0,74.3,,,B
2018.0,3.0,65-69세,,,,77.5,,B
2018.0,3.0,65세 이상,,,,83.2,,B
2018.0,3.0,65세이상,22.8,1013.0,67.4,,,B
2018.0,3.0,7-12세,98.6,633.0,71.0,,,B
2018.0,3.0,70-74세,,,,85.0,,B
2018.0,3.0,75세 이상,,,,86.2,,B
2018.0,4.0,0-6세,,,46.3,,,B
2018.0,4.0,0세,15.3,68.0,,,,B
2018.0,4.0,1-6세,79.9,89.0,,,,B
2018.0,4.0,13-18세,43.0,12.0,60.0,,,B
2018.0,4.0,19-49세,46.6,155.0,48.6,,,B
2018.0,4.0,50-64세,29.9,244.0,57.6,,,B
2018.0,4.0,65-69세,,,,77.6,,B
2018.0,4.0,65세 이상,,,,83.2,,B
2018.0,4.0,65세이상,15.5,666.0,68.4,,,B
2018.0,4.0,7-12세,63.7,317.0,61.3,,,B
2018.0,4.0,70-74세,,,,85.1,,B
2018.0,4.0,75세 이상,,,,86.2,,B
2018.0,5.0,0-6세,,,37.3,,,B
2018.0,5.0,0세,18.3,69.0,,,,B
2018.0,5.0,1-6세,63.1,88.0,,,,B
2018.0,5.0,13-18세,27.1,7.0,60.0,,,B
2018.0,5.0,19-49세,39.0,152.0,62.7,,,B
2018.0,5.0,50-64세,24.7,184.0,50.0,,,B
2018.0,5.0,65-69세,,,,77.6,,B
2018.0,5.0,65세 이상,,,,83.2,,B
2018.0,5.0,65세이상,11.1,489.0,51.1,,,B
2018.0,5.0,7-12세,58.8,307.0,60.0,,,B
2018.0,5.0,70-74세,,,,85.1,,B
2018.0,5.0,75세 이상,,,,86.2,,B
2018.0,6.0,0-6세,,,26.0,,,B
2018.0,6.0,0세,20.7,55.0,,,,B
2018.0,6.0,1-6세,52.7,84.0,,,,B
2018.0,6.0,13-18세,30.2,8.0,33.3,,,B
2018.0,6.0,19-49세,32.7,87.0,42.2,,,B
2018.0,6.0,50-64세,22.4,151.0,60.0,,,B
2018.0,6.0,65-69세,,,,77.6,,B
2018.0,6.0,65세 이상,,,,83.2,,B
2018.0,6.0,65세이상,10.9,432.0,54.1,,,B
2018.0,6.0,7-12세,52.0,266.0,51.6,,,B
2018.0,6.0,70-74세,,,,85.1,,B
2018.0,6.0,75세 이상,,,,86.2,,B
2018.0,7.0,0-6세,,,39.7,,,B
2018.0,7.0,0세,19.5,51.0,,,,B
2018.0,7.0,1-6세,51.7,93.0,,,,B
2018.0,7.0,13-18세,23.9,8.0,25.0,,,B
2018.0,7.0,19-49세,32.0,56.0,53.7,,,B
2018.0,7.0,50-64세,15.4,104.0,40.8,,,B
2018.0,7.0,65-69세,,,,77.6,,B
2018.0,7.0,65세 이상,,,,83.2,,B
2018.0,7.0,65세이상,9.7,255.0,34.5,,,B
2018.0,7.0,7-12세,50.2,178.0,53.8,,,B
2018.0,7.0,70-74세,,,,85.1,,B
2018.0,7.0,75세 이상,,,,86.2,,B
2018.0,8.0,0-6세,,,30.4,,,B
2018.0,8.0,0세,13.6,60.0,,,,B
2018.0,8.0,1-6세,31.9,43.0,,,,B
2018.0,8.0,13-18세,18.1,10.0,20.0,,,B
2018.0,8.0,19-49세,21.1,66.0,29.1,,,B
2018.0,8.0,50-64세,13.4,101.0,41.2,,,B
2018.0,8.0,65-69세,,,,77.6,,B
2018.0,8.0,65세 이상,,,,83.2,,B
2018.0,8.0,65세이상,6.8,301.0,21.3,,,B
2018.0,8.0,7-12세,21.5,163.0,36.0,,,B
2018.0,8.0,70-74세,,,,85.1,,B
2018.0,8.0,75세 이상,,,,86.2,,B
2018.0,9.0,0-6세,,,21.9,,,B
2018.0,9.0,0세,11.7,24.0,,,,B
2018.0,9.0,1-6세,22.9,38.0,,,,B
2018.0,9.0,13-18세,13.1,8.0,20.0,,,B
2018.0,9.0,19-49세,16.5,62.0,25.5,,,B
2018.0,9.0,50-64세,11.1,69.0,36.1,,,B
2018.0,9.0,65-69세,,,,77.6,,B
2018.0,9.0,65세 이상,,,,83.2,,B
2018.0,9.0,65세이상,6.3,210.0,33.3,,,B
2018.0,9.0,7-12세,20.3,146.0,27.8,,,B
2018.0,9.0,70-74세,,,,85.1,,B
2018.0,9.0,75세 이상,,,,86.2,,B
2018.0,10.0,0-6세,,,9.0,,,B
2018.0,10.0,0세,9.7,25.0,,,,B
2018.0,10.0,1-6세,19.6,47.0,,,,B
2018.0,10.0,13-18세,12.1,8.0,0.0,,,B
2018.0,10.0,19-49세,12.9,37.0,12.1,,,B
2018.0,10.0,50-64세,7.3,58.0,14.3,,,B
2018.0,10.0,65-69세,,,,77.6,,B
2018.0,10.0,65세 이상,,,,83.2,,B
2018.0,10.0,65세이상,4.0,161.0,19.4,,,B
2018.0,10.0,7-12세,18.2,73.0,52.9,,,B
2018.0,10.0,70-74세,,,,85.1,,B
2018.0,10.0,75세 이상,,,,86.2,,B
2018.0,11.0,0-6세,,,8.5,,,B
2018.0,11.0,0세,4.2,14.0,,,,B
2018.0,11.0,1-6세,15.5,32.0,,,,B
2018.0,11.0,13-18세,11.7,11.0,14.3,,,B
2018.0,11.0,19-49세,9.7,34.0,17.0,,,B
2018.0,11.0,50-64세,5.5,47.0,15.6,,,B
2018.0,11.0,65-69세,,,,77.6,,B
2018.0,11.0,65세 이상,,,,83.2,,B
2018.0,11.0,65세이상,3.1,116.0,5.0,,,B
2018.0,11.0,7-12세,17.7,87.0,23.5,,,B
2018.0,11.0,70-74세,,,,85.1,,B
2018.0,11.0,75세 이상,,,,86.2,,B
2018.0,12.0,0-6세,,,3.7,,,A(H3N2)
2018.0,12.0,0세,4.8,13.0,,,,A(H3N2)
2018.0,12.0,1-6세,10.9,18.0,,,,A(H3N2)
2018.0,12.0,13-18세,8.7,5.0,14.3,,,A(H3N2)
2018.0,12.0,19-49세,9.3,17.0,11.1,,,A(H3N2)
2018.0,12.0,50-64세,5.0,25.0,7.5,,,A(H3N2)
2018.0,12.0,65-69세,,,,77.6,,A(H3N2)
2018.0,12.0,65세 이상,,,,83.2,,A(H3N2)
2018.0,12.0,65세이상,3.0,80.0,11.1,,,A(H3N2)
2018.0,12.0,7-12세,12.2,56.0,6.3,,,A(H3N2)
2018.0,12.0,70-74세,,,,85.1,,A(H3N2)
2018.0,12.0,75세 이상,,,,86.2,,A(H3N2)
2018.0,13.0,0-6세,,,5.0,,,B
2018.0,13.0,0세,3.5,8.0,,,,B
2018.0,13.0,1-6세,10.6,17.0,,,,B
2018.0,13.0,13-18세,10.1,1.0,28.6,,,B
2018.0,13.0,19-49세,8.1,8.0,8.5,,,B
2018.0,13.0,50-64세,5.5,22.0,2.9,,,B
2018.0,13.0,65-69세,,,,77.6,,B
2018.0,13.0,65세 이상,,,,83.2,,B
2018.0,13.0,65세이상,2.8,51.0,9.7,,,B
2018.0,13.0,7-12세,8.5,77.0,6.9,,,B
2018.0,13.0,70-74세,,,,85.1,,B
2018.0,13.0,75세 이상,,,,86.2,,B
2018.0,14.0,0-6세,,,4.6,,,A(H3N2)
2018.0,14.0,0세,3.0,7.0,,,,A(H3N2)
2018.0,14.0,1-6세,8.5,15.0,,,,A(H3N2)
2018.0,14.0,13-18세,7.3,3.0,0.0,,,A(H3N2)
2018.0,14.0,19-49세,7.2,10.0,7.8,,,A(H3N2)
2018.0,14.0,50-64세,4.7,10.0,5.9,,,A(H3N2)
2018.0,14.0,65-69세,,,,77.6,,A(H3N2)
2018.0,14.0,65세 이상,,,,83.2,,A(H3N2)
2018.0,14.0,65세이상,2.1,24.0,5.6,,,A(H3N2)
2018.0,14.0,7-12세,8.2,49.0,0.0,,,A(H3N2)
2018.0,14.0,70-74세,,,,85.1,,A(H3N2)
2018.0,14.0,75세 이상,,,,86.2,,A(H3N2)
2018.0,15.0,0-6세,,,1.9,,,A(H3N2)
2018.0,15.0,0세,6.0,6.0,,,,A(H3N2)
2018.0,15.0,1-6세,10.8,25.0,,,,A(H3N2)
2018.0,15.0,13-18세,5.6,4.0,0.0,,,A(H3N2)
2018.0,15.0,19-49세,8.3,6.0,2.0,,,A(H3N2)
2018.0,15.0,50-64세,3.9,5.0,4.8,,,A(H3N2)
2018.0,15.0,65-69세,,,,77.6,,A(H3N2)
2018.0,15.0,65세 이상,,,,83.2,,A(H3N2)
2018.0,15.0,65세이상,1.7,20.0,0.0,,,A(H3N2)
2018.0,15.0,7-12세,7.8,51.0,8.0,,,A(H3N2)
2018.0,15.0,70-74세,,,,85.1,,A(H3N2)
2018.0,15.0,75세 이상,,,,86.2,,A(H3N2)
